COMMAND     PID      USER   FD   TYPE     DEVICE SIZE/OFF NODE NAME
surreal-d 35241 lixiaojie   21u  IPv4 3112746841      0t0  TCP *:8006 (LISTEN)
surreal-d 35241 lixiaojie   24u  IPv4 3112712404      0t0  TCP localhost:8006->localhost:40180 (ESTABLISHED)
surreal-d 35241 lixiaojie   25u  IPv4 3112712405      0t0  TCP localhost:8006->localhost:40184 (ESTABLISHED)
surreal-d 36946 lixiaojie   21u  IPv4 3112746841      0t0  TCP *:8006 (LISTEN)
surreal-d 36946 lixiaojie   44u  IPv4 3112719982      0t0  TCP localhost:40180->localhost:8006 (ESTABLISHED)
surreal-d 36947 lixiaojie   21u  IPv4 3112746841      0t0  TCP *:8006 (LISTEN)
surreal-d 36947 lixiaojie   45u  IPv4 3112740813      0t0  TCP localhost:40184->localhost:8006 (ESTABLISHED)
COMMAND     PID      USER   FD   TYPE     DEVICE SIZE/OFF NODE NAME
surreal-d 35242 lixiaojie   65u  IPv4 3112703171      0t0  TCP *:8007 (LISTEN)
surreal-d 35242 lixiaojie   80u  IPv4 3112757894      0t0  TCP localhost:8007->localhost:35470 (ESTABLISHED)
surreal-d 35242 lixiaojie   81u  IPv4 3112757895      0t0  TCP localhost:8007->localhost:35471 (ESTABLISHED)
surreal-d 36946 lixiaojie   45u  IPv4 3112727043      0t0  TCP localhost:35470->localhost:8007 (ESTABLISHED)
surreal-d 36947 lixiaojie   46u  IPv4 3112760384      0t0  TCP localhost:35471->localhost:8007 (ESTABLISHED)
surreal-d 37717 lixiaojie   65u  IPv4 3112703171      0t0  TCP *:8007 (LISTEN)
surreal-d 37728 lixiaojie   65u  IPv4 3112703171      0t0  TCP *:8007 (LISTEN)
surreal-d 37728 lixiaojie   80u  IPv4 3112757894      0t0  TCP localhost:8007->localhost:35470 (ESTABLISHED)
surreal-d 37728 lixiaojie   81u  IPv4 3112757895      0t0  TCP localhost:8007->localhost:35471 (ESTABLISHED)
surreal-d 37739 lixiaojie   65u  IPv4 3112703171      0t0  TCP *:8007 (LISTEN)
surreal-d 37739 lixiaojie   80u  IPv4 3112757894      0t0  TCP localhost:8007->localhost:35470 (ESTABLISHED)
surreal-d 37739 lixiaojie   81u  IPv4 3112757895      0t0  TCP localhost:8007->localhost:35471 (ESTABLISHED)
COMMAND     PID      USER   FD   TYPE     DEVICE SIZE/OFF NODE NAME
surreal-d 35242 lixiaojie   29u  IPv4 3112755309      0t0  TCP localhost:47302->localhost:8008 (ESTABLISHED)
surreal-d 35245 lixiaojie   18u  IPv4 3112760335      0t0  TCP *:8008 (LISTEN)
surreal-d 35245 lixiaojie   19u  IPv4 3112566723      0t0  TCP localhost:8008->localhost:47302 (ESTABLISHED)
surreal-d 35245 lixiaojie   20u  IPv4 3112566724      0t0  TCP localhost:8008->localhost:47304 (ESTABLISHED)
surreal-d 35245 lixiaojie   21u  IPv4 3112566725      0t0  TCP localhost:8008->localhost:47306 (ESTABLISHED)
surreal-d 35245 lixiaojie   22u  IPv4 3112566726      0t0  TCP localhost:8008->localhost:47308 (ESTABLISHED)
surreal-d 35245 lixiaojie   23u  IPv4 3112566727      0t0  TCP localhost:8008->localhost:47310 (ESTABLISHED)
surreal-d 35245 lixiaojie   24u  IPv4 3112566728      0t0  TCP localhost:8008->localhost:47312 (ESTABLISHED)
surreal-d 35245 lixiaojie   25u  IPv4 3112566740      0t0  TCP localhost:8008->localhost:47730 (ESTABLISHED)
surreal-d 35245 lixiaojie   26u  IPv4 3112566741      0t0  TCP localhost:8008->localhost:47738 (ESTABLISHED)
surreal-d 35245 lixiaojie   27u  IPv4 3112566742      0t0  TCP localhost:8008->localhost:47746 (ESTABLISHED)
surreal-d 35247 lixiaojie   20u  IPv4 3112735688      0t0  TCP localhost:47306->localhost:8008 (ESTABLISHED)
surreal-d 35248 lixiaojie   18u  IPv4 3112759387      0t0  TCP localhost:47308->localhost:8008 (ESTABLISHED)
surreal-d 35249 lixiaojie   23u  IPv4 3112719981      0t0  TCP localhost:47312->localhost:8008 (ESTABLISHED)
surreal-d 35250 lixiaojie   18u  IPv4 3112704818      0t0  TCP localhost:47310->localhost:8008 (ESTABLISHED)
surreal-d 35251 lixiaojie   18u  IPv4 3112729879      0t0  TCP localhost:47304->localhost:8008 (ESTABLISHED)
python    36897 lixiaojie   40u  IPv4 3112757882      0t0  TCP localhost:47746->localhost:8008 (ESTABLISHED)
python    36898 lixiaojie   39u  IPv4 3112757852      0t0  TCP localhost:47730->localhost:8008 (ESTABLISHED)
python    36899 lixiaojie   39u  IPv4 3112757862      0t0  TCP localhost:47738->localhost:8008 (ESTABLISHED)
surreal-d 37691 lixiaojie   18u  IPv4 3112760335      0t0  TCP *:8008 (LISTEN)
surreal-d 37691 lixiaojie   19u  IPv4 3112566723      0t0  TCP localhost:8008->localhost:47302 (ESTABLISHED)
surreal-d 37691 lixiaojie   20u  IPv4 3112566724      0t0  TCP localhost:8008->localhost:47304 (ESTABLISHED)
surreal-d 37691 lixiaojie   21u  IPv4 3112566725      0t0  TCP localhost:8008->localhost:47306 (ESTABLISHED)
surreal-d 37691 lixiaojie   22u  IPv4 3112566726      0t0  TCP localhost:8008->localhost:47308 (ESTABLISHED)
surreal-d 37691 lixiaojie   23u  IPv4 3112566727      0t0  TCP localhost:8008->localhost:47310 (ESTABLISHED)
surreal-d 37691 lixiaojie   24u  IPv4 3112566728      0t0  TCP localhost:8008->localhost:47312 (ESTABLISHED)
surreal-d 37691 lixiaojie   25u  IPv4 3112566740      0t0  TCP localhost:8008->localhost:47730 (ESTABLISHED)
surreal-d 37691 lixiaojie   26u  IPv4 3112566741      0t0  TCP localhost:8008->localhost:47738 (ESTABLISHED)
surreal-d 37691 lixiaojie   27u  IPv4 3112566742      0t0  TCP localhost:8008->localhost:47746 (ESTABLISHED)
surreal-d 37693 lixiaojie   18u  IPv4 3112760335      0t0  TCP *:8008 (LISTEN)
surreal-d 37693 lixiaojie   19u  IPv4 3112566723      0t0  TCP localhost:8008->localhost:47302 (ESTABLISHED)
surreal-d 37693 lixiaojie   20u  IPv4 3112566724      0t0  TCP localhost:8008->localhost:47304 (ESTABLISHED)
surreal-d 37693 lixiaojie   21u  IPv4 3112566725      0t0  TCP localhost:8008->localhost:47306 (ESTABLISHED)
surreal-d 37693 lixiaojie   22u  IPv4 3112566726      0t0  TCP localhost:8008->localhost:47308 (ESTABLISHED)
surreal-d 37693 lixiaojie   23u  IPv4 3112566727      0t0  TCP localhost:8008->localhost:47310 (ESTABLISHED)
surreal-d 37693 lixiaojie   24u  IPv4 3112566728      0t0  TCP localhost:8008->localhost:47312 (ESTABLISHED)
surreal-d 37693 lixiaojie   25u  IPv4 3112566740      0t0  TCP localhost:8008->localhost:47730 (ESTABLISHED)
surreal-d 37693 lixiaojie   26u  IPv4 3112566741      0t0  TCP localhost:8008->localhost:47738 (ESTABLISHED)
surreal-d 37693 lixiaojie   27u  IPv4 3112566742      0t0  TCP localhost:8008->localhost:47746 (ESTABLISHED)
surreal-d 37695 lixiaojie   18u  IPv4 3112760335      0t0  TCP *:8008 (LISTEN)
surreal-d 37695 lixiaojie   19u  IPv4 3112566723      0t0  TCP localhost:8008->localhost:47302 (ESTABLISHED)
surreal-d 37695 lixiaojie   20u  IPv4 3112566724      0t0  TCP localhost:8008->localhost:47304 (ESTABLISHED)
surreal-d 37695 lixiaojie   21u  IPv4 3112566725      0t0  TCP localhost:8008->localhost:47306 (ESTABLISHED)
surreal-d 37695 lixiaojie   22u  IPv4 3112566726      0t0  TCP localhost:8008->localhost:47308 (ESTABLISHED)
surreal-d 37695 lixiaojie   23u  IPv4 3112566727      0t0  TCP localhost:8008->localhost:47310 (ESTABLISHED)
surreal-d 37695 lixiaojie   24u  IPv4 3112566728      0t0  TCP localhost:8008->localhost:47312 (ESTABLISHED)
surreal-d 37695 lixiaojie   25u  IPv4 3112566740      0t0  TCP localhost:8008->localhost:47730 (ESTABLISHED)
surreal-d 37695 lixiaojie   26u  IPv4 3112566741      0t0  TCP localhost:8008->localhost:47738 (ESTABLISHED)
surreal-d 37695 lixiaojie   27u  IPv4 3112566742      0t0  TCP localhost:8008->localhost:47746 (ESTABLISHED)
surreal-d 37717 lixiaojie   29u  IPv4 3112755309      0t0  TCP localhost:47302->localhost:8008 (ESTABLISHED)
surreal-d 37728 lixiaojie   29u  IPv4 3112755309      0t0  TCP localhost:47302->localhost:8008 (ESTABLISHED)
surreal-d 37739 lixiaojie   29u  IPv4 3112755309      0t0  TCP localhost:47302->localhost:8008 (ESTABLISHED)
surreal-d 37766 lixiaojie   18u  IPv4 3112729879      0t0  TCP localhost:47304->localhost:8008 (ESTABLISHED)
COMMAND     PID      USER   FD   TYPE     DEVICE SIZE/OFF NODE NAME
surreal-d 35242 lixiaojie   18u  IPv4 3112643154      0t0  TCP localhost:53790->localhost:8009 (ESTABLISHED)
surreal-d 35246 lixiaojie   18u  IPv4 3112703141      0t0  TCP *:8009 (LISTEN)
surreal-d 35246 lixiaojie   19u  IPv4 3112757792      0t0  TCP localhost:8009->localhost:53790 (ESTABLISHED)
surreal-d 35246 lixiaojie   20u  IPv4 3112757793      0t0  TCP localhost:8009->localhost:53804 (ESTABLISHED)
surreal-d 35246 lixiaojie   21u  IPv4 3112757794      0t0  TCP localhost:8009->localhost:53806 (ESTABLISHED)
surreal-d 35246 lixiaojie   22u  IPv4 3112757795      0t0  TCP localhost:8009->localhost:53808 (ESTABLISHED)
surreal-d 35246 lixiaojie   23u  IPv4 3112757796      0t0  TCP localhost:8009->localhost:53810 (ESTABLISHED)
surreal-d 35246 lixiaojie   24u  IPv4 3112757797      0t0  TCP localhost:8009->localhost:53812 (ESTABLISHED)
surreal-d 35246 lixiaojie   31u  IPv4 3112566739      0t0  TCP localhost:8009->localhost:54218 (ESTABLISHED)
surreal-d 35246 lixiaojie   32u  IPv4 3112751415      0t0  TCP localhost:8009->localhost:54226 (ESTABLISHED)
surreal-d 35246 lixiaojie   33u  IPv4 3112751416      0t0  TCP localhost:8009->localhost:54234 (ESTABLISHED)
surreal-d 35247 lixiaojie   29u  IPv4 3112738894      0t0  TCP localhost:53806->localhost:8009 (ESTABLISHED)
surreal-d 35248 lixiaojie   29u  IPv4 3112693046      0t0  TCP localhost:53810->localhost:8009 (ESTABLISHED)
surreal-d 35249 lixiaojie   29u  IPv4 3112656452      0t0  TCP localhost:53804->localhost:8009 (ESTABLISHED)
surreal-d 35250 lixiaojie   29u  IPv4 3112711238      0t0  TCP localhost:53812->localhost:8009 (ESTABLISHED)
surreal-d 35251 lixiaojie   29u  IPv4 3112703142      0t0  TCP localhost:53808->localhost:8009 (ESTABLISHED)
python    36897 lixiaojie   29u  IPv4 3112761382      0t0  TCP localhost:54234->localhost:8009 (ESTABLISHED)
python    36898 lixiaojie   26u  IPv4 3112744407      0t0  TCP localhost:54218->localhost:8009 (ESTABLISHED)
python    36899 lixiaojie   28u  IPv4 3112744408      0t0  TCP localhost:54226->localhost:8009 (ESTABLISHED)
surreal-d 37717 lixiaojie   18u  IPv4 3112643154      0t0  TCP localhost:53790->localhost:8009 (ESTABLISHED)
surreal-d 37728 lixiaojie   18u  IPv4 3112643154      0t0  TCP localhost:53790->localhost:8009 (ESTABLISHED)
surreal-d 37739 lixiaojie   18u  IPv4 3112643154      0t0  TCP localhost:53790->localhost:8009 (ESTABLISHED)
surreal-d 37766 lixiaojie   29u  IPv4 3112703142      0t0  TCP localhost:53808->localhost:8009 (ESTABLISHED)
COMMAND     PID      USER   FD   TYPE     DEVICE SIZE/OFF NODE NAME
surreal-d 35242 lixiaojie   76u  IPv4 3112705519      0t0  TCP localhost:8010 (LISTEN)
surreal-d 35242 lixiaojie   79u  IPv4 3112712433      0t0  TCP localhost:8010->localhost:34912 (ESTABLISHED)
surreal-d 35242 lixiaojie   82u  IPv4 3112712434      0t0  TCP localhost:8010->localhost:34916 (ESTABLISHED)
surreal-d 35242 lixiaojie   84u  IPv4 3112712437      0t0  TCP localhost:8010->localhost:34930 (ESTABLISHED)
surreal-d 35242 lixiaojie   85u  IPv4 3112712435      0t0  TCP localhost:8010->localhost:34922 (ESTABLISHED)
surreal-d 35242 lixiaojie   86u  IPv4 3112712436      0t0  TCP localhost:8010->localhost:34924 (ESTABLISHED)
surreal-d 35242 lixiaojie   87u  IPv4 3112712438      0t0  TCP localhost:8010->localhost:34932 (ESTABLISHED)
surreal-d 37717 lixiaojie   76u  IPv4 3112705519      0t0  TCP localhost:8010 (LISTEN)
surreal-d 37717 lixiaojie  109u  IPv4 3112729883      0t0  TCP localhost:34912->localhost:8010 (ESTABLISHED)
surreal-d 37717 lixiaojie  121u  IPv4 3112725991      0t0  TCP localhost:34916->localhost:8010 (ESTABLISHED)
